economy,period,lsci_value,iso2,iso3,region,year,quarter,lsci_growth_pct
Albania,2006Q04,5.0079,AL,ALB,Europe,2006,04,
Albania,2007Q01,5.47757,AL,ALB,Europe,2007,01,9.38
Albania,2007Q02,5.47757,AL,ALB,Europe,2007,02,0.0
Albania,2007Q03,5.03685,AL,ALB,Europe,2007,03,-8.05
Albania,2007Q04,5.19215,AL,ALB,Europe,2007,04,3.08
Albania,2008Q01,6.23126,AL,ALB,Europe,2008,01,20.01
Albania,2008Q02,6.28057,AL,ALB,Europe,2008,02,0.79
Albania,2008Q03,11.34534,AL,ALB,Europe,2008,03,80.64
Albania,2008Q04,12.92714,AL,ALB,Europe,2008,04,13.94
Albania,2009Q01,12.77703,AL,ALB,Europe,2009,01,-1.16
Albania,2009Q02,12.12222,AL,ALB,Europe,2009,02,-5.12
Albania,2009Q03,13.12945,AL,ALB,Europe,2009,03,8.31
Albania,2009Q04,10.31139,AL,ALB,Europe,2009,04,-21.46
Albania,2010Q01,14.98162,AL,ALB,Europe,2010,01,45.29
Albania,2010Q02,10.20598,AL,ALB,Europe,2010,02,-31.88
Albania,2010Q03,10.20598,AL,ALB,Europe,2010,03,0.0
Albania,2010Q04,10.20791,AL,ALB,Europe,2010,04,0.02
Albania,2011Q01,10.20791,AL,ALB,Europe,2011,01,0.0
Albania,2011Q02,14.41835,AL,ALB,Europe,2011,02,41.25
Albania,2011Q03,12.91445,AL,ALB,Europe,2011,03,-10.43
Albania,2011Q04,12.31015,AL,ALB,Europe,2011,04,-4.68
Albania,2012Q01,12.31015,AL,ALB,Europe,2012,01,0.0
Albania,2012Q02,16.53791,AL,ALB,Europe,2012,02,34.34
Albania,2012Q03,16.93732,AL,ALB,Europe,2012,03,2.42
Albania,2012Q04,12.69804,AL,ALB,Europe,2012,04,-25.03
Albania,2013Q01,15.57367,AL,ALB,Europe,2013,01,22.65
Albania,2013Q02,16.05144,AL,ALB,Europe,2013,02,3.07
Albania,2013Q03,17.86189,AL,ALB,Europe,2013,03,11.28
Albania,2013Q04,14.02769,AL,ALB,Europe,2013,04,-21.47
Albania,2014Q01,17.41398,AL,ALB,Europe,2014,01,24.14
Albania,2014Q02,12.73641,AL,ALB,Europe,2014,02,-26.86
Albania,2014Q03,16.04409,AL,ALB,Europe,2014,03,25.97
Albania,2014Q04,16.34917,AL,ALB,Europe,2014,04,1.9
Albania,2015Q01,16.08112,AL,ALB,Europe,2015,01,-1.64
Albania,2015Q02,16.75871,AL,ALB,Europe,2015,02,4.21
Albania,2015Q03,16.73261,AL,ALB,Europe,2015,03,-0.16
Albania,2015Q04,16.72181,AL,ALB,Europe,2015,04,-0.06
Albania,2016Q01,17.08794,AL,ALB,Europe,2016,01,2.19
Albania,2016Q02,13.5814,AL,ALB,Europe,2016,02,-20.52
Albania,2016Q03,17.53032,AL,ALB,Europe,2016,03,29.08
Albania,2016Q04,17.85701,AL,ALB,Europe,2016,04,1.86
Albania,2017Q01,18.77216,AL,ALB,Europe,2017,01,5.12
Albania,2017Q02,16.56839,AL,ALB,Europe,2017,02,-11.74
Albania,2017Q03,14.98006,AL,ALB,Europe,2017,03,-9.59
Albania,2017Q04,14.30745,AL,ALB,Europe,2017,04,-4.49
Albania,2018Q01,14.29074,AL,ALB,Europe,2018,01,-0.12
Albania,2018Q02,8.486,AL,ALB,Europe,2018,02,-40.62
Albania,2018Q03,14.50542,AL,ALB,Europe,2018,03,70.93
Albania,2018Q04,15.02326,AL,ALB,Europe,2018,04,3.57
Albania,2019Q01,15.11035,AL,ALB,Europe,2019,01,0.58
Albania,2019Q02,14.47202,AL,ALB,Europe,2019,02,-4.22
Albania,2019Q03,19.52184,AL,ALB,Europe,2019,03,34.89
Albania,2019Q04,19.5214,AL,ALB,Europe,2019,04,-0.0
Albania,2020Q01,18.37007,AL,ALB,Europe,2020,01,-5.9
Albania,2020Q02,18.3617,AL,ALB,Europe,2020,02,-0.05
Albania,2020Q03,14.33798,AL,ALB,Europe,2020,03,-21.91
Albania,2020Q04,14.33798,AL,ALB,Europe,2020,04,0.0
Albania,2021Q01,14.58418,AL,ALB,Europe,2021,01,1.72
Albania,2021Q02,14.58418,AL,ALB,Europe,2021,02,0.0
Albania,2021Q03,15.02569,AL,ALB,Europe,2021,03,3.03
Albania,2021Q04,15.02108,AL,ALB,Europe,2021,04,-0.03
Albania,2022Q01,13.67076,AL,ALB,Europe,2022,01,-8.99
Albania,2022Q02,12.75522,AL,ALB,Europe,2022,02,-6.7
Albania,2022Q03,12.7547,AL,ALB,Europe,2022,03,-0.0
Albania,2022Q04,11.96664,AL,ALB,Europe,2022,04,-6.18
Albania,2023Q01,11.96842,AL,ALB,Europe,2023,01,0.01
Albania,2023Q02,11.98092,AL,ALB,Europe,2023,02,0.1
Albania,2023Q03,11.98092,AL,ALB,Europe,2023,03,0.0
Albania,2023Q04,13.23984,AL,ALB,Europe,2023,04,10.51
Albania,2024Q01,12.39595,AL,ALB,Europe,2024,01,-6.37
Albania,2024Q02,12.39401,AL,ALB,Europe,2024,02,-0.02
Albania,2024Q03,15.588940000000001,AL,ALB,Europe,2024,03,25.78
Albania,2024Q04,12.39401,AL,ALB,Europe,2024,04,-20.49
Algeria,2006Q01,59.70207,DZ,DZA,Africa,2006,01,
Algeria,2006Q02,61.42829,DZ,DZA,Africa,2006,02,2.89
Algeria,2006Q03,61.83488,DZ,DZA,Africa,2006,03,0.66
Algeria,2006Q04,63.23653,DZ,DZA,Africa,2006,04,2.27
Algeria,2007Q01,52.50879,DZ,DZA,Africa,2007,01,-16.96
Algeria,2007Q02,55.38777,DZ,DZA,Africa,2007,02,5.48
Algeria,2007Q03,56.75813,DZ,DZA,Africa,2007,03,2.47
Algeria,2007Q04,56.4566,DZ,DZA,Africa,2007,04,-0.53
