Quarter,Quarter Label,Economy,Economy Label,Index (Average Q1 2023 = 100),Index (Average Q1 2023 = 100) Footnote,Index (Average Q1 2023 = 100) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value,Ranking per quarter,Ranking per quarter Footnote,Ranking per quarter Missing value
2006Q01,"Q1 2006",012,"Algeria",59.70207,,,,,"No value reported or collected",,,"No value reported or collected",67,,
2006Q01,"Q1 2006",016,"American Samoa",31.7279,,,,,"No value reported or collected",,,"No value reported or collected",112,,
2006Q01,"Q1 2006",024,"Angola",61.5449,,,,,"No value reported or collected",,,"No value reported or collected",66,,
2006Q01,"Q1 2006",660,"Anguilla",7.73145,,,,,"No value reported or collected",,,"No value reported or collected",163,,
2006Q01,"Q1 2006",028,"Antigua and Barbuda",22.93111,,,,,"No value reported or collected",,,"No value reported or collected",123,,
2006Q01,"Q1 2006",032,"Argentina",116.63993,,,,,"No value reported or collected",,,"No value reported or collected",38,,
2006Q01,"Q1 2006",533,"Aruba",27.60083,,,,,"No value reported or collected",,,"No value reported or collected",116,,
2006Q01,"Q1 2006",036,"Australia",139.19453,,,,,"No value reported or collected",,,"No value reported or collected",27,,
2006Q01,"Q1 2006",044,"Bahamas",58.07361,,,,,"No value reported or collected",,,"No value reported or collected",70,,
2006Q01,"Q1 2006",048,"Bahrain",33.71585,,,,,"No value reported or collected",,,"No value reported or collected",105,,
2006Q01,"Q1 2006",050,"Bangladesh",41.28467,,,,,"No value reported or collected",,,"No value reported or collected",90,,
2006Q01,"Q1 2006",052,"Barbados",36.60703,,,,,"No value reported or collected",,,"No value reported or collected",100,,
2006Q01,"Q1 2006",056,"Belgium",420.27499,,,,,"No value reported or collected",,,"No value reported or collected",10,,
2006Q01,"Q1 2006",084,"Belize",14.72717,,,,,"No value reported or collected",,,"No value reported or collected",143,,
2006Q01,"Q1 2006",204,"Benin",49.62155,,,,,"No value reported or collected",,,"No value reported or collected",85,,
2006Q01,"Q1 2006",060,"Bermuda",7.79287,,,,,"No value reported or collected",,,"No value reported or collected",162,,
2006Q01,"Q1 2006",535,"Bonaire, Sint Eustatius and Saba",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q01,"Q1 2006",076,"Brazil",165.34077,,,,,"No value reported or collected",,,"No value reported or collected",22,,
2006Q01,"Q1 2006",092,"British Virgin Islands",13.29954,,,,,"No value reported or collected",,,"No value reported or collected",145,,
2006Q01,"Q1 2006",096,"Brunei Darussalam",21.19292,,,,,"No value reported or collected",,,"No value reported or collected",134,,
2006Q01,"Q1 2006",100,"Bulgaria",38.22704,,,,,"No value reported or collected",,,"No value reported or collected",95,,
2006Q01,"Q1 2006",132,"Cabo Verde",15.79113,,,,,"No value reported or collected",,,"No value reported or collected",141,,
2006Q01,"Q1 2006",116,"Cambodia",17.09131,,,,,"No value reported or collected",,,"No value reported or collected",139,,
2006Q01,"Q1 2006",120,"Cameroon",68.06215,,,,,"No value reported or collected",,,"No value reported or collected",63,,
2006Q01,"Q1 2006",124,"Canada",157.45255,,,,,"No value reported or collected",,,"No value reported or collected",25,,
2006Q01,"Q1 2006",136,"Cayman Islands",9.32752,,,,,"No value reported or collected",,,"No value reported or collected",159,,
2006Q01,"Q1 2006",152,"Chile",78.29969,,,,,"No value reported or collected",,,"No value reported or collected",52,,
2006Q01,"Q1 2006",156,"China",717.71445,,,,,"No value reported or collected",,,"No value reported or collected",1,,
2006Q01,"Q1 2006",344,"China, Hong Kong SAR",555.33549,,,,,"No value reported or collected",,,"No value reported or collected",2,,
2006Q01,"Q1 2006",158,"China, Taiwan Province of",358.61995,,,,,"No value reported or collected",,,"No value reported or collected",13,,
2006Q01,"Q1 2006",166,"Cocos (Keeling) Islands",3.4796,,,,,"No value reported or collected",,,"No value reported or collected",171,,
2006Q01,"Q1 2006",170,"Colombia",130.91452,,,,,"No value reported or collected",,,"No value reported or collected",29,,
2006Q01,"Q1 2006",174,"Comoros",13.18543,,,,,"No value reported or collected",,,"No value reported or collected",147,,
2006Q01,"Q1 2006",178,"Congo",49.69651,,,,,"No value reported or collected",,,"No value reported or collected",84,,
2006Q01,"Q1 2006",184,"Cook Islands",3.26918,,,,,"No value reported or collected",,,"No value reported or collected",172,,
2006Q01,"Q1 2006",188,"Costa Rica",80.77,,,,,"No value reported or collected",,,"No value reported or collected",49,,
2006Q01,"Q1 2006",384,"Cote d'Ivoire",77.30148,,,,,"No value reported or collected",,,"No value reported or collected",53,,
2006Q01,"Q1 2006",191,"Croatia",31.46861,,,,,"No value reported or collected",,,"No value reported or collected",113,,
2006Q01,"Q1 2006",192,"Cuba",32.85938,,,,,"No value reported or collected",,,"No value reported or collected",108,,
2006Q01,"Q1 2006",531,"Curacao",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q01,"Q1 2006",196,"Cyprus",57.53445,,,,,"No value reported or collected",,,"No value reported or collected",73,,
2006Q01,"Q1 2006",408,"Dem. People's Rep. of Korea",2.98765,,,,,"No value reported or collected",,,"No value reported or collected",173,,
2006Q01,"Q1 2006",180,"Dem. Rep. of the Congo",21.55401,,,,,"No value reported or collected",,,"No value reported or collected",131,,
2006Q01,"Q1 2006",208,"Denmark",68.7357,,,,,"No value reported or collected",,,"No value reported or collected",61,,
2006Q01,"Q1 2006",262,"Djibouti",50.94368,,,,,"No value reported or collected",,,"No value reported or collected",81,,
2006Q01,"Q1 2006",212,"Dominica",23.74701,,,,,"No value reported or collected",,,"No value reported or collected",120,,
