economy,period
Algeria,2006Q01
American Samoa,2006Q01
Angola,2006Q01
Anguilla,2006Q01
Antigua and Barbuda,2006Q01
Argentina,2006Q01
Aruba,2006Q01
Australia,2006Q01
Bahamas,2006Q01
Bahrain,2006Q01
Bangladesh,2006Q01
Barbados,2006Q01
Belgium,2006Q01
Belize,2006Q01
Benin,2006Q01
Bermuda,2006Q01
"Bonaire, Sint Eustatius and Saba",2006Q01
Brazil,2006Q01
British Virgin Islands,2006Q01
Brunei Darussalam,2006Q01
Bulgaria,2006Q01
Cabo Verde,2006Q01
Cambodia,2006Q01
Cameroon,2006Q01
Canada,2006Q01
Cayman Islands,2006Q01
Chile,2006Q01
China,2006Q01
"China, Hong Kong SAR",2006Q01
"China, Taiwan Province of",2006Q01
Cocos (Keeling) Islands,2006Q01
Colombia,2006Q01
Comoros,2006Q01
Congo,2006Q01
Cook Islands,2006Q01
Costa Rica,2006Q01
Cote d'Ivoire,2006Q01
Croatia,2006Q01
Cuba,2006Q01
Curacao,2006Q01
Cyprus,2006Q01
Dem. People's Rep. of Korea,2006Q01
Dem. Rep. of the Congo,2006Q01
Denmark,2006Q01
Djibouti,2006Q01
Dominica,2006Q01
Dominican Republic,2006Q01
Ecuador,2006Q01
Egypt,2006Q01
El Salvador,2006Q01
Equatorial Guinea,2006Q01
Eritrea,2006Q01
Estonia,2006Q01
Faroe Islands,2006Q01
Fiji,2006Q01
Finland,2006Q01
France,2006Q01
French Guiana,2006Q01
French Polynesia,2006Q01
Gabon,2006Q01
Gambia,2006Q01
Georgia,2006Q01
Germany,2006Q01
Ghana,2006Q01
Gibraltar,2006Q01
Greece,2006Q01
Greenland,2006Q01
Grenada,2006Q01
Guadeloupe,2006Q01
Guam,2006Q01
Guatemala,2006Q01
Guernsey,2006Q01
Guinea,2006Q01
Guinea-Bissau,2006Q01
Guyana,2006Q01
Haiti,2006Q01
Honduras,2006Q01
Iceland,2006Q01
India,2006Q01
Indonesia,2006Q01
Iran (Islamic Republic of),2006Q01
Iraq,2006Q01
Ireland,2006Q01
Israel,2006Q01
Italy,2006Q01
Jamaica,2006Q01
Japan,2006Q01
Jersey,2006Q01
Jordan,2006Q01
Kenya,2006Q01
Kuwait,2006Q01
Latvia,2006Q01
Lebanon,2006Q01
Liberia,2006Q01
Libya,2006Q01
Lithuania,2006Q01
Madagascar,2006Q01
Malaysia,2006Q01
Maldives,2006Q01
Malta,2006Q01
Marshall Islands,2006Q01
Martinique,2006Q01
Mauritania,2006Q01
Mauritius,2006Q01
Mayotte,2006Q01
Mexico,2006Q01
Micronesia (Federated States of),2006Q01
Montenegro,2006Q01
Morocco,2006Q01
Mozambique,2006Q01
Myanmar,2006Q01
Namibia,2006Q01
Netherlands (Kingdom of the),2006Q01
Netherlands Antilles,2006Q01
New Caledonia,2006Q01
New Zealand,2006Q01
Nicaragua,2006Q01
Nigeria,2006Q01
Norfolk Island,2006Q01
Northern Mariana Islands,2006Q01
Norway,2006Q01
Oman,2006Q01
Pakistan,2006Q01
Palau,2006Q01
Panama,2006Q01
Papua New Guinea,2006Q01
Peru,2006Q01
Philippines,2006Q01
Poland,2006Q01
Portugal,2006Q01
Puerto Rico,2006Q01
Qatar,2006Q01
Republic of Korea,2006Q01
Reunion,2006Q01
Romania,2006Q01
Russian Federation,2006Q01
Saint Kitts and Nevis,2006Q01
Saint Lucia,2006Q01
Saint Vincent and the Grenadines,2006Q01
Samoa,2006Q01
Sao Tome and Principe,2006Q01
Saudi Arabia,2006Q01
