economy,period,lsci_value
Algeria,2006Q01,59.70207
American Samoa,2006Q01,31.727899999999998
Angola,2006Q01,61.5449
Anguilla,2006Q01,7.73145
Antigua and Barbuda,2006Q01,22.93111
Argentina,2006Q01,116.63993
Aruba,2006Q01,27.60083
Australia,2006Q01,139.19453
Bahamas,2006Q01,58.07361
Bahrain,2006Q01,33.71585
Bangladesh,2006Q01,41.28467
Barbados,2006Q01,36.60703
Belgium,2006Q01,420.27499
Belize,2006Q01,14.727170000000001
Benin,2006Q01,49.62155
Bermuda,2006Q01,7.79287
"Bonaire, Sint Eustatius and Saba",2006Q01,
Brazil,2006Q01,165.34077
British Virgin Islands,2006Q01,13.29954
Brunei Darussalam,2006Q01,21.19292
Bulgaria,2006Q01,38.22704
Cabo Verde,2006Q01,15.79113
Cambodia,2006Q01,17.09131
Cameroon,2006Q01,68.06215
Canada,2006Q01,157.45255
Cayman Islands,2006Q01,9.32752
Chile,2006Q01,78.29969
China,2006Q01,717.71445
"China, Hong Kong SAR",2006Q01,555.33549
"China, Taiwan Province of",2006Q01,358.61995
Cocos (Keeling) Islands,2006Q01,3.4796
Colombia,2006Q01,130.91452
Comoros,2006Q01,13.18543
Congo,2006Q01,49.69651
Cook Islands,2006Q01,3.26918
Costa Rica,2006Q01,80.77
Cote d'Ivoire,2006Q01,77.30148
Croatia,2006Q01,31.46861
Cuba,2006Q01,32.85938
Curacao,2006Q01,
Cyprus,2006Q01,57.53445
Dem. People's Rep. of Korea,2006Q01,2.98765
Dem. Rep. of the Congo,2006Q01,21.55401
Denmark,2006Q01,68.7357
Djibouti,2006Q01,50.94368
Dominica,2006Q01,23.74701
Dominican Republic,2006Q01,107.54113
Ecuador,2006Q01,68.94127
Egypt,2006Q01,221.1144
El Salvador,2006Q01,25.09639
Equatorial Guinea,2006Q01,23.31697
Eritrea,2006Q01,13.24642
Estonia,2006Q01,32.61638
Faroe Islands,2006Q01,11.58728
Fiji,2006Q01,35.11816
Finland,2006Q01,81.64718
France,2006Q01,298.7783
French Guiana,2006Q01,21.66854
French Polynesia,2006Q01,38.7793
Gabon,2006Q01,37.59806
Gambia,2006Q01,10.81613
Georgia,2006Q01,21.35756
Germany,2006Q01,464.4652
Ghana,2006Q01,72.5368
Gibraltar,2006Q01,6.71792
Greece,2006Q01,129.24597
Greenland,2006Q01,4.48596
Grenada,2006Q01,22.66404
Guadeloupe,2006Q01,37.74956
Guam,2006Q01,21.63258
Guatemala,2006Q01,91.64637
Guernsey,2006Q01,4.75538
Guinea,2006Q01,34.96757
Guinea-Bissau,2006Q01,10.25497
Guyana,2006Q01,33.37324
Haiti,2006Q01,18.427880000000002
Honduras,2006Q01,59.19682
Iceland,2006Q01,18.63189
India,2006Q01,212.11615
Indonesia,2006Q01,215.79946
